id;relationship_type;source_type;name;other_entity_field;relationship_name;other_entity_relationship_name;column_width;order;hide_in_list;font_color;background_color;help;owner_side;common_table_id;data_name;web_component_type;other_entity_is_tree;other_entity_name;end_used;edit_in_list;hide_in_form;system;search_form
1;ONE_TO_MANY;ENTITY;人员列表;firstName;users;departmentAuthority;100;1;false;;;;NULL;4;users;;false;User;NULL;false;false;true;false
2;ONE_TO_MANY;ENTITY;API权限;name;apiPermissions;departmentAuthority;100;2;false;;;;NULL;4;apiPermissions;;true;ApiPermission;NULL;false;false;true;false
3;ONE_TO_MANY;ENTITY;可视权限;text;viewPermissions;departmentAuthority;100;3;false;;;;NULL;4;viewPermissions;;true;ViewPermission;NULL;false;false;true;false
4;MANY_TO_ONE;ENTITY;所属部门;name;department;departmentAuthorities;100;4;false;;;;true;4;departments;treeSelect;true;Department;NULL;false;false;true;false
5;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;7;apiPermissions;;true;ApiPermission;NULL;false;false;true;false
6;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;3;false;;;;true;7;apiPermissions;treeSelect;true;ApiPermission;NULL;false;false;true;false
7;MANY_TO_MANY;ENTITY;角色列表;name;authorities;apiPermissions;100;4;false;;;;NULL;7;authorities;treeSelect;true;Authority;NULL;false;false;true;false
8;MANY_TO_ONE;ENTITY;上传者;login;user;uploadImage;100;1;false;;;;true;8;users;select;false;User;NULL;false;false;true;false
9;MANY_TO_ONE;ENTITY;所属分类;title;category;images;100;2;false;;;;true;8;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true;false
10;ONE_TO_MANY;ENTITY;下级部门;name;children;parent;100;1;false;;;;NULL;12;departments;;true;Department;NULL;false;false;true;false
11;MANY_TO_MANY;ENTITY;角色列表;name;authorities;departments;100;2;false;;;;true;12;authorities;treeSelect;true;Authority;NULL;false;false;true;false
12;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;3;false;;;;true;12;departments;treeSelect;true;Department;NULL;false;false;true;false
13;ONE_TO_MANY;ENTITY;员工列表;firstName;users;department;100;4;false;;;;NULL;12;users;;false;User;NULL;false;false;true;false
14;ONE_TO_MANY;ENTITY;部门角色;name;departmentAuthorities;department;100;5;false;;;;NULL;12;departmentAuthorities;;false;DepartmentAuthority;NULL;false;false;true;false
15;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;3;authorities;;true;Authority;NULL;false;false;true;false
16;MANY_TO_MANY;ENTITY;Api权限;name;apiPermissions;authorities;100;4;false;;;;true;3;apiPermissions;treeSelect;true;ApiPermission;NULL;false;false;true;false
17;MANY_TO_MANY;ENTITY;菜单列表;text;viewPermissions;authorities;100;5;false;;;;true;3;viewPermissions;treeSelect;true;ViewPermission;NULL;false;false;true;false
18;ONE_TO_MANY;ENTITY;子节点;text;children;parent;100;1;false;;;;NULL;18;viewPermissions;;true;ViewPermission;NULL;false;false;true;false
19;MANY_TO_ONE;ENTITY;上级;text;parent;children;100;3;false;;;;true;18;viewPermissions;treeSelect;true;ViewPermission;NULL;false;false;true;false
20;MANY_TO_MANY;ENTITY;角色列表;name;authorities;viewPermissions;100;4;false;;;;NULL;18;authorities;treeSelect;true;Authority;NULL;false;false;true;false
21;MANY_TO_ONE;ENTITY;岗位;name;position;users;100;2;false;;;;true;1;positions;select;false;Position;NULL;false;false;true;false
22;ONE_TO_MANY;ENTITY;文件列表;url;files;category;100;1;false;;;;NULL;21;uploadFiles;;false;UploadFile;NULL;false;false;true;false
23;ONE_TO_MANY;ENTITY;下级列表;title;children;parent;100;2;false;;;;NULL;21;resourceCategories;;true;ResourceCategory;NULL;false;false;true;false
24;ONE_TO_MANY;ENTITY;图片列表;url;images;category;100;3;false;;;;NULL;21;uploadImages;;false;UploadImage;NULL;false;false;true;false
25;MANY_TO_ONE;ENTITY;上级;title;parent;children;100;4;false;;;;true;21;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true;false
26;MANY_TO_ONE;ENTITY;上传者;login;user;uploadFile;100;1;false;;;;true;22;users;select;false;User;NULL;false;false;true;false
27;MANY_TO_ONE;ENTITY;所属分类;title;category;files;100;2;false;;;;true;22;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true;false
28;ONE_TO_MANY;ENTITY;员工列表;firstName;users;position;100;1;false;;;;NULL;23;users;;false;User;NULL;false;false;true;false
29;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;24;dataDictionaries;;true;DataDictionary;NULL;false;false;true;false
30;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;2;false;;;;true;24;dataDictionaries;treeSelect;true;DataDictionary;NULL;false;false;true;false
31;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;25;regionCodes;;true;RegionCode;NULL;false;false;true;false
32;MANY_TO_ONE;ENTITY;上级节点;name;parent;children;100;2;false;;;;true;25;regionCodes;treeSelect;true;RegionCode;NULL;false;false;true;false
