id;text;i_18_n;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
1;主导航;;true;/;;TOP;;false;false;true;false;false;false;index;;MENU;1;;NULL;components/layouts/TabLayout;/dashboard
2;仪表盘;;false;/dashboard;;PARENT;anticon anticon-dashboard;false;false;false;false;false;false;dashboard;;MENU;1;;1;components/layouts/RouteView;/dashboard/analysis
3;分析页;;false;/dashboard/analysis;;BLANK;;false;false;false;false;false;false;dashboard-analysis;;MENU;0;;2;views/dashboard/Analysis;
77;设置;;true;/settings;;NULL;;false;false;true;false;false;false;;;MENU;1;;NULL;components/layouts/RouteView;/entities/system
87;业务;;true;/entities;;NULL;;false;false;true;false;false;false;business;;MENU;1;;NULL;components/layouts/RouteView;
97;开发参考;;false;/development;;SELF;anticon anticon-code;false;false;false;false;false;false;;;MENU;1;;77;components/layouts/RouteView;/admin/docs
99;API;;false;/admin/docs;;SELF;;false;false;false;false;false;false;admin-docs;;MENU;1;;97;admin/docs/docs;
105;系统设置;;false;/settings/system;;NULL;anticon anticon-setting;false;false;false;false;false;false;;;MENU;1;;87;components/layouts/RouteView;
107;缓存管理;;false;/entities/system/cache-manage;;SELF;;false;false;false;false;false;false;system-cache-manage;;MENU;1;;105;entities/system/cache-manage/cache-manage;
108;数据可视;;false;/entities/report;;SELF;anticon anticon-file-text;false;false;false;false;false;false;;;MENU;1;;87;components/layouts/RouteView;
109;配置管理;;false;/entities/settings;;SELF;anticon anticon-database;false;false;false;false;false;false;;;MENU;1;;87;components/layouts/RouteView;
110;部门角色;;false;/entities/settings/department-authority;;SELF;;false;false;false;false;false;false;settings-department-authority-list;;MENU;1;;109;entities/settings/department-authority/department-authority;
111;编辑部门角色;;false;/entities/settings/department-authority/:departmentAuthorityId/edit;;SELF;;false;true;false;false;false;false;settings-department-authority-update;;MENU;1;;109;entities/settings/department-authority/department-authority-update;
112;新建部门角色;;false;/entities/settings/department-authority/new;;SELF;;false;true;false;false;false;false;settings-department-authority-new;;MENU;1;;109;entities/settings/department-authority/department-authority-update;
113;短信消息;;false;/entities/system/sms-message;;SELF;;false;false;false;false;false;false;-sms-message-list;;MENU;1;;105;entities/system/sms-message/sms-message;
114;编辑短信消息;;false;/entities/system/sms-message/:smsMessageId/edit;;SELF;;false;true;false;false;false;false;-sms-message-update;;MENU;1;;105;entities/system/sms-message/sms-message-update;
115;新建短信消息;;false;/entities/system/sms-message/new;;SELF;;false;true;false;false;false;false;-sms-message-new;;MENU;1;;105;entities/system/sms-message/sms-message-update;
116;文件管理;;false;/entities/files;;SELF;anticon anticon-file;false;false;false;false;false;false;;;MENU;1;;87;components/layouts/RouteView;
117;对象存储配置;;false;/entities/files/oss-config;;SELF;;false;false;false;false;false;false;files-oss-config-list;;MENU;1;;116;entities/files/oss-config/oss-config;
118;编辑对象存储配置;;false;/entities/files/oss-config/:ossConfigId/edit;;SELF;;false;true;false;false;false;false;files-oss-config-update;;MENU;1;;116;entities/files/oss-config/oss-config-update;
119;新建对象存储配置;;false;/entities/files/oss-config/new;;SELF;;false;true;false;false;false;false;files-oss-config-new;;MENU;1;;116;entities/files/oss-config/oss-config-update;
120;API权限;;false;/entities/system/api-permission;;SELF;;false;false;false;false;false;false;system-api-permission-list;;MENU;1;;105;entities/system/api-permission/api-permission;
121;编辑API权限;;false;/entities/system/api-permission/:apiPermissionId/edit;;SELF;;false;true;false;false;false;false;system-api-permission-update;;MENU;1;;105;entities/system/api-permission/api-permission-update;
122;新建API权限;;false;/entities/system/api-permission/new;;SELF;;false;true;false;false;false;false;system-api-permission-new;;MENU;1;;105;entities/system/api-permission/api-permission-update;
123;上传图片;;false;/entities/files/upload-image;;SELF;;false;false;false;false;false;false;files-upload-image-list;;MENU;1;;116;entities/files/upload-image/upload-image;
124;编辑上传图片;;false;/entities/files/upload-image/:uploadImageId/edit;;SELF;;false;true;false;false;false;false;files-upload-image-update;;MENU;1;;116;entities/files/upload-image/upload-image-update;
125;新建上传图片;;false;/entities/files/upload-image/new;;SELF;;false;true;false;false;false;false;files-upload-image-new;;MENU;1;;116;entities/files/upload-image/upload-image-update;
126;短信配置;;false;/entities/files/sms-config;;SELF;;false;false;false;false;false;false;files-sms-config-list;;MENU;1;;116;entities/files/sms-config/sms-config;
