id;name;area_code;city_code;merger_name;short_name;zip_code;level;lng;lat;removed_at
1;motivating Sleek interactive;Account Towels Baby;海南省 gold;Soft;Administrator niches;444041;TOWN;16371;55999;2023-02-20
2;Generic Forward Data;AGP Bosnia;Jewelery Intelligent;convergence;江西省 Consultant;535919;COUNTY;86729;21367;2023-02-20
3;Account turquoise open-source;enhance Internal;Avon 上海市 one-to-one;protocol Paradigm;Reunion;035052;COUNTY;98846;14476;2023-02-20
4;override Metal Small;北京市 Pakistan;江苏省 Rupee Wooden;Optimization Account;AI high-level SMS;121349;TOWN;92374;70472;2023-02-20
5;Berkshire Practical Tasty;Customer-focused;Cheese;Managed red proactive;projection;977566;TOWN;27913;44523;2023-02-20
6;云南省 栋;中心 Outdoors;Tuna;Kids Personal full-range;Lari;011334;COUNTY;12464;11994;2023-02-20
7;Customer Developer;Shoes Health;help-desk Generic 侬;Incredible;Shoes mobile programming;001993;PROVINCE;83523;33061;2023-02-20
8;redundant Facilitator;Executive SMTP;National withdrawal XML;back;Frozen Account JBOD;627357;COUNTY;83125;58505;2023-02-20
9;parsing;Unbranded interactive strategic;monitor;technologies;山西省 convergence solution;628702;VILLAGE;5200;93700;2023-02-20
10;USB 1080p auxiliary;Licensed;Towels incentivize;Sleek Response;宁夏 Bedfordshire mission-critical;431720;COUNTY;77080;26911;2023-02-20
